titles,abstracts,terms
I Want This Product but Different : Multimodal Retrieval with Synthetic Query Expansion,"This paper addresses the problem of media retrieval using a multimodal query
(a query which combines visual input with additional semantic information in
natural language feedback). We propose a SynthTriplet GAN framework which
resolves this task by expanding the multimodal query with a synthetically
generated image that captures semantic information from both image and text
input. We introduce a novel triplet mining method that uses a synthetic image
as an anchor to directly optimize for embedding distances of generated and
target images. We demonstrate that apart from the added value of retrieval
illustration with synthetic image with the focus on customization and user
feedback, the proposed method greatly surpasses other multimodal generation
methods and achieves state of the art results in the multimodal retrieval task.
We also show that in contrast to other retrieval methods, our method provides
explainable embeddings.",cs
DuctTake: Spatiotemporal Video Compositing,"DuctTake is a system designed to enable practical compositing of multiple
takes of a scene into a single video. Current industry solutions are based
around object segmentation, a hard problem that requires extensive manual input
and cleanup, making compositing an expensive part of the film-making process.
Our method instead composites shots together by finding optimal spatiotemporal
seams using motion-compensated 3D graph cuts through the video volume. We
describe in detail the required components, decisions, and new techniques that
together make a usable, interactive tool for compositing HD video, paying
special attention to running time and performance of each section. We validate
our approach by presenting a wide variety of examples and by comparing result
quality and creation time to composites made by professional artists using
current state-of-the-art tools.",cs
Learning and Reasoning with the Graph Structure Representation in Robotic Surgery,"Learning to infer graph representations and performing spatial reasoning in a
complex surgical environment can play a vital role in surgical scene
understanding in robotic surgery. For this purpose, we develop an approach to
generate the scene graph and predict surgical interactions between instruments
and surgical region of interest (ROI) during robot-assisted surgery. We design
an attention link function and integrate with a graph parsing network to
recognize the surgical interactions. To embed each node with corresponding
neighbouring node features, we further incorporate SageConv into the network.
The scene graph generation and active edge classification mostly depend on the
embedding or feature extraction of node and edge features from complex image
representation. Here, we empirically demonstrate the feature extraction methods
by employing label smoothing weighted loss. Smoothing the hard label can avoid
the over-confident prediction of the model and enhances the feature
representation learned by the penultimate layer. To obtain the graph scene
label, we annotate the bounding box and the instrument-ROI interactions on the
robotic scene segmentation challenge 2018 dataset with an experienced clinical
expert in robotic surgery and employ it to evaluate our propositions.",eess
Deep Face Video Inpainting via UV Mapping,"This paper addresses the problem of face video inpainting. Existing video
inpainting methods target primarily at natural scenes with repetitive patterns.
They do not make use of any prior knowledge of the face to help retrieve
correspondences for the corrupted face. They therefore only achieve sub-optimal
results, particularly for faces under large pose and expression variations
where face components appear very differently across frames. In this paper, we
propose a two-stage deep learning method for face video inpainting. We employ
3DMM as our 3D face prior to transform a face between the image space and the
UV (texture) space. In Stage I, we perform face inpainting in the UV space.
This helps to largely remove the influence of face poses and expressions and
makes the learning task much easier with well aligned face features. We
introduce a frame-wise attention module to fully exploit correspondences in
neighboring frames to assist the inpainting task. In Stage II, we transform the
inpainted face regions back to the image space and perform face video
refinement that inpaints any background regions not covered in Stage I and also
refines the inpainted face regions. Extensive experiments have been carried out
which show our method can significantly outperform methods based merely on 2D
information, especially for faces under large pose and expression variations.",cs
AutoDO: Robust AutoAugment for Biased Data with Label Noise via Scalable Probabilistic Implicit Differentiation,"AutoAugment has sparked an interest in automated augmentation methods for
deep learning models. These methods estimate image transformation policies for
train data that improve generalization to test data. While recent papers
evolved in the direction of decreasing policy search complexity, we show that
those methods are not robust when applied to biased and noisy data. To overcome
these limitations, we reformulate AutoAugment as a generalized automated
dataset optimization (AutoDO) task that minimizes the distribution shift
between test data and distorted train dataset. In our AutoDO model, we
explicitly estimate a set of per-point hyperparameters to flexibly change
distribution of train data. In particular, we include hyperparameters for
augmentation, loss weights, and soft-labels that are jointly estimated using
implicit differentiation. We develop a theoretical probabilistic interpretation
of this framework using Fisher information and show that its complexity scales
linearly with the dataset size. Our experiments on SVHN, CIFAR-10/100, and
ImageNet classification show up to 9.3% improvement for biased datasets with
label noise compared to prior methods and, importantly, up to 36.6% gain for
underrepresented SVHN classes.",cs
Diverse Semantic Image Synthesis via Probability Distribution Modeling,"Semantic image synthesis, translating semantic layouts to photo-realistic
images, is a one-to-many mapping problem. Though impressive progress has been
recently made, diverse semantic synthesis that can efficiently produce
semantic-level multimodal results, still remains a challenge. In this paper, we
propose a novel diverse semantic image synthesis framework from the perspective
of semantic class distributions, which naturally supports diverse generation at
semantic or even instance level. We achieve this by modeling class-level
conditional modulation parameters as continuous probability distributions
instead of discrete values, and sampling per-instance modulation parameters
through instance-adaptive stochastic sampling that is consistent across the
network. Moreover, we propose prior noise remapping, through linear
perturbation parameters encoded from paired references, to facilitate
supervised training and exemplar-based instance style control at test time.
Extensive experiments on multiple datasets show that our method can achieve
superior diversity and comparable quality compared to state-of-the-art methods.
Code will be available at \url{https://github.com/tzt101/INADE.git}",cs
High Accurate Unhealthy Leaf Detection,"India is an agriculture-dependent country. As we all know that farming is the
backbone of our country it is our responsibility to preserve the crops.
However, we cannot stop the destruction of crops by natural calamities at least
we have to try to protect our crops from diseases. To, detect a plant disease
we need a fast automatic way. So, this paper presents a model to identify the
particular disease of plant leaves at early stages so that we can prevent or
take a remedy to stop spreading of the disease. This proposed model is made
into five sessions. Image preprocessing includes the enhancement of the low
light image done using inception modules in CNN. Low-resolution image
enhancement is done using an Adversarial Neural Network. This also includes
Conversion of RGB Image to YCrCb color space. Next, this paper presents a
methodology for image segmentation which is an important aspect for identifying
the disease symptoms. This segmentation is done using the genetic algorithm.
Due to this process the segmentation of the leaf Image this helps in detection
of the leaf mage automatically and classifying. Texture extraction is done
using the statistical model called GLCM and finally, the classification of the
diseases is done using the SVM using Different Kernels with the high accuracy.",eess
Transfer Learning for Aided Target Recognition: Comparing Deep Learning to other Machine Learning Approaches,"Aided target recognition (AiTR), the problem of classifying objects from
sensor data, is an important problem with applications across industry and
defense. While classification algorithms continue to improve, they often
require more training data than is available or they do not transfer well to
settings not represented in the training set. These problems are mitigated by
transfer learning (TL), where knowledge gained in a well-understood source
domain is transferred to a target domain of interest. In this context, the
target domain could represents a poorly-labeled dataset, a different sensor, or
an altogether new set of classes to identify.
  While TL for classification has been an active area of machine learning (ML)
research for decades, transfer learning within a deep learning framework
remains a relatively new area of research. Although deep learning (DL) provides
exceptional modeling flexibility and accuracy on recent real world problems,
open questions remain regarding how much transfer benefit is gained by using DL
versus other ML architectures. Our goal is to address this shortcoming by
comparing transfer learning within a DL framework to other ML approaches across
transfer tasks and datasets. Our main contributions are: 1) an empirical
analysis of DL and ML algorithms on several transfer tasks and domains
including gene expressions and satellite imagery, and 2) a discussion of the
limitations and assumptions of TL for aided target recognition -- both for DL
and ML in general. We close with a discussion of future directions for DL
transfer.",cs
A Novel Approach to Artistic Textual Visualization via GAN,"While the visualization of statistical data tends to a mature technology, the
visualization of textual data is still in its infancy, especially for the
artistic text. Due to the fact that visualization of artistic text is valuable
and attractive in both art and information science, we attempt to realize this
tentative idea in this article. We propose the Generative Adversarial Network
based Artistic Textual Visualization (GAN-ATV) which can create paintings after
analyzing the semantic content of existing poems. Our GAN-ATV consists of two
main sections: natural language analysis section and visual information
synthesis section. In natural language analysis section, we use Bag-of-Word
(BoW) feature descriptors and a two-layer network to mine and analyze the
high-level semantic information from poems. In visual information synthesis
section, we design a cross-modal semantic understanding module and integrate it
with Generative Adversarial Network (GAN) to create paintings, whose content
are corresponding to the original poems. Moreover, in order to train our
GAN-ATV and verify its performance, we establish a cross-modal artistic dataset
named ""Cross-Art"". In the Cross-Art dataset, there are six topics and each
topic has their corresponding paintings and poems. The experimental results on
Cross-Art dataset are shown in this article.",cs
How are attributes expressed in face DCNNs?,"As deep networks become increasingly accurate at recognizing faces, it is
vital to understand how these networks process faces. While these networks are
solely trained to recognize identities, they also contain face related
information such as sex, age, and pose of the face. The networks are not
trained to learn these attributes. We introduce expressivity as a measure of
how much a feature vector informs us about an attribute, where a feature vector
can be from internal or final layers of a network. Expressivity is computed by
a second neural network whose inputs are features and attributes. The output of
the second neural network approximates the mutual information between feature
vectors and an attribute. We investigate the expressivity for two different
deep convolutional neural network (DCNN) architectures: a Resnet-101 and an
Inception Resnet v2. In the final fully connected layer of the networks, we
found the order of expressivity for facial attributes to be Age > Sex > Yaw.
Additionally, we studied the changes in the encoding of facial attributes over
training iterations. We found that as training progresses, expressivities of
yaw, sex, and age decrease. Our technique can be a tool for investigating the
sources of bias in a network and a step towards explaining the network's
identity decisions.",cs
One-Shot Learning of Manipulation Skills with Online Dynamics Adaptation and Neural Network Priors,"One of the key challenges in applying reinforcement learning to complex
robotic control tasks is the need to gather large amounts of experience in
order to find an effective policy for the task at hand. Model-based
reinforcement learning can achieve good sample efficiency, but requires the
ability to learn a model of the dynamics that is good enough to learn an
effective policy. In this work, we develop a model-based reinforcement learning
algorithm that combines prior knowledge from previous tasks with online
adaptation of the dynamics model. These two ingredients enable highly
sample-efficient learning even in regimes where estimating the true dynamics is
very difficult, since the online model adaptation allows the method to locally
compensate for unmodeled variation in the dynamics. We encode the prior
experience into a neural network dynamics model, adapt it online by
progressively refitting a local linear model of the dynamics, and use model
predictive control to plan under these dynamics. Our experimental results show
that this approach can be used to solve a variety of complex robotic
manipulation tasks in just a single attempt, using prior data from other
manipulation behaviors.",cs
Explainable Deep Modeling of Tabular Data using TableGraphNet,"The vast majority of research on explainability focuses on
post-explainability rather than explainable modeling. Namely, an explanation
model is derived to explain a complex black box model built with the sole
purpose of achieving the highest performance possible. In part, this trend
might be driven by the misconception that there is a trade-off between
explainability and accuracy. Furthermore, the consequential work on Shapely
values, grounded in game theory, has also contributed to a new wave of
post-explainability research on better approximations for various machine
learning models, including deep learning models. We propose a new architecture
that inherently produces explainable predictions in the form of additive
feature attributions. Our approach learns a graph representation for each
record in the dataset. Attribute centric features are then derived from the
graph and fed into a contribution deep set model to produce the final
predictions. We show that our explainable model attains the same level of
performance as black box models. Finally, we provide an augmented model
training approach that leverages the missingness property and yields high
levels of consistency (as required for the Shapely values) without loss of
accuracy.",cs
Glance and Gaze: Inferring Action-aware Points for One-Stage Human-Object Interaction Detection,"Modern human-object interaction (HOI) detection approaches can be divided
into one-stage methods and twostage ones. One-stage models are more efficient
due to their straightforward architectures, but the two-stage models are still
advantageous in accuracy. Existing one-stage models usually begin by detecting
predefined interaction areas or points, and then attend to these areas only for
interaction prediction; therefore, they lack reasoning steps that dynamically
search for discriminative cues. In this paper, we propose a novel one-stage
method, namely Glance and Gaze Network (GGNet), which adaptively models a set
of actionaware points (ActPoints) via glance and gaze steps. The glance step
quickly determines whether each pixel in the feature maps is an interaction
point. The gaze step leverages feature maps produced by the glance step to
adaptively infer ActPoints around each pixel in a progressive manner. Features
of the refined ActPoints are aggregated for interaction prediction. Moreover,
we design an actionaware approach that effectively matches each detected
interaction with its associated human-object pair, along with a novel hard
negative attentive loss to improve the optimization of GGNet. All the above
operations are conducted simultaneously and efficiently for all pixels in the
feature maps. Finally, GGNet outperforms state-of-the-art methods by
significant margins on both V-COCO and HICODET benchmarks. Code of GGNet is
available at https: //github.com/SherlockHolmes221/GGNet.",cs
Missing Value Imputation on Multidimensional Time Series,"We present DeepMVI, a deep learning method for missing value imputation in
multidimensional time-series datasets. Missing values are commonplace in
decision support platforms that aggregate data over long time stretches from
disparate sources, and reliable data analytics calls for careful handling of
missing data. One strategy is imputing the missing values, and a wide variety
of algorithms exist spanning simple interpolation, matrix factorization methods
like SVD, statistical models like Kalman filters, and recent deep learning
methods. We show that often these provide worse results on aggregate analytics
compared to just excluding the missing data. DeepMVI uses a neural network to
combine fine-grained and coarse-grained patterns along a time series, and
trends from related series across categorical dimensions. After failing with
off-the-shelf neural architectures, we design our own network that includes a
temporal transformer with a novel convolutional window feature, and kernel
regression with learned embeddings. The parameters and their training are
designed carefully to generalize across different placements of missing blocks
and data characteristics. Experiments across nine real datasets, four different
missing scenarios, comparing seven existing methods show that DeepMVI is
significantly more accurate, reducing error by more than 50% in more than half
the cases, compared to the best existing method. Although slower than simpler
matrix factorization methods, we justify the increased time overheads by
showing that DeepMVI is the only option that provided overall more accurate
analytics than dropping missing values.",cs
From Virtual to Real World Visual Perception using Domain Adaptation -- The DPM as Example,"Supervised learning tends to produce more accurate classifiers than
unsupervised learning in general. This implies that training data is preferred
with annotations. When addressing visual perception challenges, such as
localizing certain object classes within an image, the learning of the involved
classifiers turns out to be a practical bottleneck. The reason is that, at
least, we have to frame object examples with bounding boxes in thousands of
images. A priori, the more complex the model is regarding its number of
parameters, the more annotated examples are required. This annotation task is
performed by human oracles, which ends up in inaccuracies and errors in the
annotations (aka ground truth) since the task is inherently very cumbersome and
sometimes ambiguous. As an alternative we have pioneered the use of virtual
worlds for collecting such annotations automatically and with high precision.
However, since the models learned with virtual data must operate in the real
world, we still need to perform domain adaptation (DA). In this chapter we
revisit the DA of a deformable part-based model (DPM) as an exemplifying case
of virtual- to-real-world DA. As a use case, we address the challenge of
vehicle detection for driver assistance, using different publicly available
virtual-world data. While doing so, we investigate questions such as: how does
the domain gap behave due to virtual-vs-real data with respect to dominant
object appearance per domain, as well as the role of photo-realism in the
virtual world.",cs
Edge-augmented Graph Transformers: Global Self-attention is Enough for Graphs,"Transformer neural networks have achieved state-of-the-art results for
unstructured data such as text and images but their adoption for
graph-structured data has been limited. This is partly due to the difficulty of
incorporating complex structural information in the basic transformer
framework. We propose a simple yet powerful extension to the transformer -
residual edge channels. The resultant framework, which we call Edge-augmented
Graph Transformer (EGT), can directly accept, process and output structural
information as well as node information. It allows us to use global
self-attention, the key element of transformers, directly for graphs and comes
with the benefit of long-range interaction among nodes. Moreover, the edge
channels allow the structural information to evolve from layer to layer, and
prediction tasks on edges/links can be performed directly from the output
embeddings of these channels. In addition, we introduce a generalized
positional encoding scheme for graphs based on Singular Value Decomposition
which can improve the performance of EGT. Our framework, which relies on global
node feature aggregation, achieves better performance compared to
Convolutional/Message-Passing Graph Neural Networks, which rely on local
feature aggregation within a neighborhood. We verify the performance of EGT in
a supervised learning setting on a wide range of experiments on benchmark
datasets. Our findings indicate that convolutional aggregation is not an
essential inductive bias for graphs and global self-attention can serve as a
flexible and adaptive alternative.",cs
Improving Graph Representation Learning by Contrastive Regularization,"Graph representation learning is an important task with applications in
various areas such as online social networks, e-commerce networks, WWW, and
semantic webs. For unsupervised graph representation learning, many algorithms
such as Node2Vec and Graph-SAGE make use of ""negative sampling"" and/or noise
contrastive estimation loss. This bears similar ideas to contrastive learning,
which ""contrasts"" the node representation similarities of semantically similar
(positive) pairs against those of negative pairs. However, despite the success
of contrastive learning, we found that directly applying this technique to
graph representation learning models (e.g., graph convolutional networks) does
not always work. We theoretically analyze the generalization performance and
propose a light-weight regularization term that avoids the high scales of node
representations' norms and the high variance among them to improve the
generalization performance. Our experimental results further validate that this
regularization term significantly improves the representation quality across
different node similarity definitions and outperforms the state-of-the-art
methods.",cs
A Data-Driven Approach for Predicting Vegetation-Related Outages in Power Distribution Systems,"This paper presents a novel data-driven approach for predicting the number of
vegetation-related outages that occur in power distribution systems on a
monthly basis. In order to develop an approach that is able to successfully
fulfill this objective, there are two main challenges that ought to be
addressed. The first challenge is to define the extent of the target area. An
unsupervised machine learning approach is proposed to overcome this difficulty.
The second challenge is to correctly identify the main causes of
vegetation-related outages and to thoroughly investigate their nature. In this
paper, these outages are categorized into two main groups: growth-related and
weather-related outages, and two types of models, namely time series and
non-linear machine learning regression models are proposed to conduct the
prediction tasks, respectively. Moreover, various features that can explain the
variability in vegetation-related outages are engineered and employed. Actual
outage data, obtained from a major utility in the U.S., in addition to
different types of weather and geographical data are utilized to build the
proposed approach. Finally, by utilizing various time series models and machine
learning methods, a comprehensive case study is carried out to demonstrate how
the proposed approach can be used to successfully predict the number of
vegetation-related outages and to help decision-makers to detect vulnerable
zones in their systems.",stat
Regularization Learning Networks: Deep Learning for Tabular Datasets,"Despite their impressive performance, Deep Neural Networks (DNNs) typically
underperform Gradient Boosting Trees (GBTs) on many tabular-dataset learning
tasks. We propose that applying a different regularization coefficient to each
weight might boost the performance of DNNs by allowing them to make more use of
the more relevant inputs. However, this will lead to an intractable number of
hyperparameters. Here, we introduce Regularization Learning Networks (RLNs),
which overcome this challenge by introducing an efficient hyperparameter tuning
scheme which minimizes a new Counterfactual Loss. Our results show that RLNs
significantly improve DNNs on tabular datasets, and achieve comparable results
to GBTs, with the best performance achieved with an ensemble that combines GBTs
and RLNs. RLNs produce extremely sparse networks, eliminating up to 99.8% of
the network edges and 82% of the input features, thus providing more
interpretable models and reveal the importance that the network assigns to
different inputs. RLNs could efficiently learn a single network in datasets
that comprise both tabular and unstructured data, such as in the setting of
medical imaging accompanied by electronic health records. An open source
implementation of RLN can be found at
https://github.com/irashavitt/regularization_learning_networks.",stat
Attentive Deep Regression Networks for Real-Time Visual Face Tracking in Video Surveillance,"Visual face tracking is one of the most important tasks in video surveillance
systems. However, due to the variations in pose, scale, expression, and
illumination it is considered to be a difficult task. Recent studies show that
deep learning methods have a significant potential in object tracking tasks and
adaptive feature selection methods can boost their performance. Motivated by
these, we propose an end-to-end attentive deep learning based tracker, that is
build on top of the state-of-the-art GOTURN tracker, for the task of real-time
visual face tracking in video surveillance. Our method outperforms the
state-of-the-art GOTURN and IVT trackers by very large margins and it achieves
speeds that are very far beyond the requirements of real-time tracking.
Additionally, to overcome the scarce data problem in visual face tracking, we
also provide bounding box annotations for the G1 and G2 sets of ChokePoint
dataset and make it suitable for further studies in face tracking under
surveillance conditions.",cs
Accelerating Deep Unsupervised Domain Adaptation with Transfer Channel Pruning,"Deep unsupervised domain adaptation (UDA) has recently received increasing
attention from researchers. However, existing methods are computationally
intensive due to the computation cost of Convolutional Neural Networks (CNN)
adopted by most work. To date, there is no effective network compression method
for accelerating these models. In this paper, we propose a unified Transfer
Channel Pruning (TCP) approach for accelerating UDA models. TCP is capable of
compressing the deep UDA model by pruning less important channels while
simultaneously learning transferable features by reducing the cross-domain
distribution divergence. Therefore, it reduces the impact of negative transfer
and maintains competitive performance on the target task. To the best of our
knowledge, TCP is the first approach that aims at accelerating deep UDA models.
TCP is validated on two benchmark datasets-Office-31 and ImageCLEF-DA with two
common backbone networks-VGG16 and ResNet50. Experimental results demonstrate
that TCP achieves comparable or better classification accuracy than other
comparison methods while significantly reducing the computational cost. To be
more specific, in VGG16, we get even higher accuracy after pruning 26% floating
point operations (FLOPs); in ResNet50, we also get higher accuracy on half of
the tasks after pruning 12% FLOPs. We hope that TCP will open a new door for
future research on accelerating transfer learning models.",cs
Cloud Cover Nowcasting with Deep Learning,"Nowcasting is a field of meteorology which aims at forecasting weather on a
short term of up to a few hours. In the meteorology landscape, this field is
rather specific as it requires particular techniques, such as data
extrapolation, where conventional meteorology is generally based on physical
modeling. In this paper, we focus on cloud cover nowcasting, which has various
application areas such as satellite shots optimisation and photovoltaic energy
production forecast.
  Following recent deep learning successes on multiple imagery tasks, we
applied deep convolutionnal neural networks on Meteosat satellite images for
cloud cover nowcasting. We present the results of several architectures
specialized in image segmentation and time series prediction. We selected the
best models according to machine learning metrics as well as meteorological
metrics. All selected architectures showed significant improvements over
persistence and the well-known U-Net surpasses AROME physical model.",cs
Asynchronous Corner Tracking Algorithm based on Lifetime of Events for DAVIS Cameras,"Event cameras, i.e., the Dynamic and Active-pixel Vision Sensor (DAVIS) ones,
capture the intensity changes in the scene and generates a stream of events in
an asynchronous fashion. The output rate of such cameras can reach up to 10
million events per second in high dynamic environments. DAVIS cameras use novel
vision sensors that mimic human eyes. Their attractive attributes, such as high
output rate, High Dynamic Range (HDR), and high pixel bandwidth, make them an
ideal solution for applications that require high-frequency tracking. Moreover,
applications that operate in challenging lighting scenarios can exploit the
high HDR of event cameras, i.e., 140 dB compared to 60 dB of traditional
cameras. In this paper, a novel asynchronous corner tracking method is proposed
that uses both events and intensity images captured by a DAVIS camera. The
Harris algorithm is used to extract features, i.e., frame-corners from
keyframes, i.e., intensity images. Afterward, a matching algorithm is used to
extract event-corners from the stream of events. Events are solely used to
perform asynchronous tracking until the next keyframe is captured. Neighboring
events, within a window size of 5x5 pixels around the event-corner, are used to
calculate the velocity and direction of extracted event-corners by fitting the
2D planar using a randomized Hough transform algorithm. Experimental evaluation
showed that our approach is able to update the location of the extracted
corners up to 100 times during the blind time of traditional cameras, i.e.,
between two consecutive intensity images.",cs
VIS30K: A Collection of Figures and Tables from IEEE Visualization Conference Publications,"We present the VIS30K dataset, a collection of 29,689 images that represents
30 years of figures and tables from each track of the IEEE Visualization
conference series (Vis, SciVis, InfoVis, VAST). VIS30K's comprehensive coverage
of the scientific literature in visualization not only reflects the progress of
the field but also enables researchers to study the evolution of the
state-of-the-art and to find relevant work based on graphical content. We
describe the dataset and our semi-automatic collection process, which couples
convolutional neural networks (CNN) with curation. Extracting figures and
tables semi-automatically allows us to verify that no images are overlooked or
extracted erroneously. To improve quality further, we engaged in a peer-search
process for high-quality figures from early IEEE Visualization papers. With the
resulting data, we also contribute VISImageNavigator (VIN,
visimagenavigator.github.io), a web-based tool that facilitates searching and
exploring VIS30K by author names, paper keywords, title and abstract, and
years.",eess
Unsupervised-learning-based method for chest MRI-CT transformation using structure constrained unsupervised generative attention networks,"The integrated positron emission tomography/magnetic resonance imaging
(PET/MRI) scanner facilitates the simultaneous acquisition of metabolic
information via PET and morphological information with high soft-tissue
contrast using MRI. Although PET/MRI facilitates the capture of high-accuracy
fusion images, its major drawback can be attributed to the difficulty
encountered when performing attenuation correction, which is necessary for
quantitative PET evaluation. The combined PET/MRI scanning requires the
generation of attenuation-correction maps from MRI owing to no direct
relationship between the gamma-ray attenuation information and MRIs. While
MRI-based bone-tissue segmentation can be readily performed for the head and
pelvis regions, the realization of accurate bone segmentation via chest CT
generation remains a challenging task. This can be attributed to the
respiratory and cardiac motions occurring in the chest as well as its
anatomically complicated structure and relatively thin bone cortex. This paper
presents a means to minimise the anatomical structural changes without human
annotation by adding structural constraints using a modality-independent
neighbourhood descriptor (MIND) to a generative adversarial network (GAN) that
can transform unpaired images. The results obtained in this study revealed the
proposed U-GAT-IT + MIND approach to outperform all other competing approaches.
The findings of this study hint towards possibility of synthesising clinically
acceptable CT images from chest MRI without human annotation, thereby
minimising the changes in the anatomical structure.",cs
Resource Management for Blockchain-enabled Federated Learning: A Deep Reinforcement Learning Approach,"Blockchain-enabled Federated Learning (BFL) enables mobile devices to
collaboratively train neural network models required by a Machine Learning
Model Owner (MLMO) while keeping data on the mobile devices. Then, the model
updates are stored in the blockchain in a decentralized and reliable manner.
However, the issue of BFL is that the mobile devices have energy and CPU
constraints that may reduce the system lifetime and training efficiency. The
other issue is that the training latency may increase due to the blockchain
mining process. To address these issues, the MLMO needs to (i) decide how much
data and energy that the mobile devices use for the training and (ii) determine
the block generation rate to minimize the system latency, energy consumption,
and incentive cost while achieving the target accuracy for the model. Under the
uncertainty of the BFL environment, it is challenging for the MLMO to determine
the optimal decisions. We propose to use the Deep Reinforcement Learning (DRL)
to derive the optimal decisions for the MLMO.",stat
Domain Generalization via Model-Agnostic Learning of Semantic Features,"Generalization capability to unseen domains is crucial for machine learning
models when deploying to real-world conditions. We investigate the challenging
problem of domain generalization, i.e., training a model on multi-domain source
data such that it can directly generalize to target domains with unknown
statistics. We adopt a model-agnostic learning paradigm with gradient-based
meta-train and meta-test procedures to expose the optimization to domain shift.
Further, we introduce two complementary losses which explicitly regularize the
semantic structure of the feature space. Globally, we align a derived soft
confusion matrix to preserve general knowledge about inter-class relationships.
Locally, we promote domain-independent class-specific cohesion and separation
of sample features with a metric-learning component. The effectiveness of our
method is demonstrated with new state-of-the-art results on two common object
recognition benchmarks. Our method also shows consistent improvement on a
medical image segmentation task.",cs
Tabular Transformers for Modeling Multivariate Time Series,"Tabular datasets are ubiquitous in data science applications. Given their
importance, it seems natural to apply state-of-the-art deep learning algorithms
in order to fully unlock their potential. Here we propose neural network models
that represent tabular time series that can optionally leverage their
hierarchical structure. This results in two architectures for tabular time
series: one for learning representations that is analogous to BERT and can be
pre-trained end-to-end and used in downstream tasks, and one that is akin to
GPT and can be used for generation of realistic synthetic tabular sequences. We
demonstrate our models on two datasets: a synthetic credit card transaction
dataset, where the learned representations are used for fraud detection and
synthetic data generation, and on a real pollution dataset, where the learned
encodings are used to predict atmospheric pollutant concentrations. Code and
data are available at https://github.com/IBM/TabFormer.",cs
Automatic Video Colorization using 3D Conditional Generative Adversarial Networks,"In this work, we present a method for automatic colorization of grayscale
videos. The core of the method is a Generative Adversarial Network that is
trained and tested on sequences of frames in a sliding window manner. Network
convolutional and deconvolutional layers are three-dimensional, with frame
height, width and time as the dimensions taken into account. Multiple
chrominance estimates per frame are aggregated and combined with available
luminance information to recreate a colored sequence. Colorization trials are
run succesfully on a dataset of old black-and-white films. The usefulness of
our method is also validated with numerical results, computed with a newly
proposed metric that measures colorization consistency over a frame sequence.",cs
Pose2RGBD. Generating Depth and RGB images from absolute positions,"We propose a method at the intersection of Computer Vision and Computer
Graphics fields, which automatically generates RGBD images using neural
networks, based on previously seen and synchronized video, depth and pose
signals. Since the models must be able to reconstruct both texture (RGB) and
structure (Depth), it creates an implicit representation of the scene, as
opposed to explicit ones, such as meshes or point clouds. The process can be
thought of as neural rendering, where we obtain a function f : Pose -> RGBD,
which we can use to navigate through the generated scene, similarly to graphics
simulations. We introduce two new datasets, one based on synthetic data with
full ground truth information, while the other one being recorded from a drone
flight in an university campus, using only video and GPS signals. Finally, we
propose a fully unsupervised method of generating datasets from videos alone,
in order to train the Pose2RGBD networks. Code and datasets are available at::
https://gitlab.com/mihaicristianpirvu/pose2rgbd.",eess
Challenging common interpretability assumptions in feature attribution explanations,"As machine learning and algorithmic decision making systems are increasingly
being leveraged in high-stakes human-in-the-loop settings, there is a pressing
need to understand the rationale of their predictions. Researchers have
responded to this need with explainable AI (XAI), but often proclaim
interpretability axiomatically without evaluation. When these systems are
evaluated, they are often tested through offline simulations with proxy metrics
of interpretability (such as model complexity). We empirically evaluate the
veracity of three common interpretability assumptions through a large scale
human-subjects experiment with a simple ""placebo explanation"" control. We find
that feature attribution explanations provide marginal utility in our task for
a human decision maker and in certain cases result in worse decisions due to
cognitive and contextual confounders. This result challenges the assumed
universal benefit of applying these methods and we hope this work will
underscore the importance of human evaluation in XAI research. Supplemental
materials -- including anonymized data from the experiment, code to replicate
the study, an interactive demo of the experiment, and the models used in the
analysis -- can be found at: https://doi.pizza/challenging-xai.",cs
EVGen: Adversarial Networks for Learning Electric Vehicle Charging Loads and Hidden Representations,"The nexus between transportation, the power grid, and consumer behavior is
more pronounced than ever before as the race to decarbonize the transportation
sector intensifies. Electrification in the transportation sector has led to
technology shifts and rapid deployment of electric vehicles (EVs). The
potential increase in stochastic and spatially heterogeneous charging load
presents a unique challenge that is not well studied, and will have significant
impacts on grid operations, emissions, and system reliability if not managed
effectively. Realistic scenario generators can help operators prepare, and
machine learning can be leveraged to this end. In this work, we develop
generative adversarial networks (GANs) to learn distributions of electric
vehicle (EV) charging sessions and disentangled representations. We show that
this model structure successfully parameterizes unlabeled temporal and power
patterns without supervision and is able to generate synthetic data conditioned
on these parameters. We benchmark the generation capability of this model with
Gaussian Mixture Models (GMMs), and empirically show that our proposed model
framework is better at capturing charging distributions and temporal dynamics.",cs
